race_id,date,round
19680804,1968-08-04,8
19680908,1968-09-08,9
19680922,1968-09-22,10
19681006,1968-10-06,11
19681103,1968-11-03,12
19690301,1969-03-01,1
19690504,1969-05-04,2
19690518,1969-05-18,3
19690621,1969-06-21,4
19690706,1969-07-06,5
19690719,1969-07-19,6
19690803,1969-08-03,7
19690907,1969-09-07,8
19690920,1969-09-20,9
19691005,1969-10-05,10
19691019,1969-10-19,11
19700307,1970-03-07,1
19700419,1970-04-19,2
19700510,1970-05-10,3
19700607,1970-06-07,4
19700621,1970-06-21,5
19700705,1970-07-05,6
19700718,1970-07-18,7
19700802,1970-08-02,8
19700816,1970-08-16,9
19700906,1970-09-06,10
19700920,1970-09-20,11
19701004,1970-10-04,12
19701025,1970-10-25,13
19710306,1971-03-06,1
19710418,1971-04-18,2
19710523,1971-05-23,3
19710620,1971-06-20,4
19710704,1971-07-04,5
19710717,1971-07-17,6
19710801,1971-08-01,7
19710815,1971-08-15,8
19710905,1971-09-05,9
19710919,1971-09-19,10
19711003,1971-10-03,11
19720123,1972-01-23,1
19720304,1972-03-04,2
19720501,1972-05-01,3
19720514,1972-05-14,4
19720604,1972-06-04,5
19720702,1972-07-02,6
19720715,1972-07-15,7
19720730,1972-07-30,8
19720813,1972-08-13,9
19720910,1972-09-10,10
19720924,1972-09-24,11
19721008,1972-10-08,12
19730128,1973-01-28,1
19730211,1973-02-11,2
19730303,1973-03-03,3
19730429,1973-04-29,4
19730520,1973-05-20,5
19730603,1973-06-03,6
19730617,1973-06-17,7
19730701,1973-07-01,8
19730714,1973-07-14,9
19730729,1973-07-29,10
19730805,1973-08-05,11
19730819,1973-08-19,12
19730909,1973-09-09,13
19730923,1973-09-23,14
19731007,1973-10-07,15
19740113,1974-01-13,1
19740127,1974-01-27,2
19740330,1974-03-30,3
19740428,1974-04-28,4
19740512,1974-05-12,5
19740526,1974-05-26,6
19740609,1974-06-09,7
19740623,1974-06-23,8
19740707,1974-07-07,9
19740720,1974-07-20,10
19740804,1974-08-04,11
19740818,1974-08-18,12
19740908,1974-09-08,13
19740922,1974-09-22,14
19741006,1974-10-06,15
19750112,1975-01-12,1
19750126,1975-01-26,2
19750301,1975-03-01,3
19750427,1975-04-27,4
19750511,1975-05-11,5
19750525,1975-05-25,6
19750608,1975-06-08,7
19750622,1975-06-22,8
19750706,1975-07-06,9
19750719,1975-07-19,10
19750803,1975-08-03,11
19750817,1975-08-17,12
19750907,1975-09-07,13
19751005,1975-10-05,14
19760125,1976-01-25,1
19760306,1976-03-06,2
19760328,1976-03-28,3
19760502,1976-05-02,4
19760516,1976-05-16,5
19760530,1976-05-30,6
19760613,1976-06-13,7
19760704,1976-07-04,8
19760718,1976-07-18,9
19760801,1976-08-01,10
19760815,1976-08-15,11
19760829,1976-08-29,12
19760912,1976-09-12,13
19761003,1976-10-03,14
19761010,1976-10-10,15
19761024,1976-10-24,16
19770109,1977-01-09,1
19770123,1977-01-23,2
19770305,1977-03-05,3
19770403,1977-04-03,4
19770508,1977-05-08,5
19770522,1977-05-22,6
19770605,1977-06-05,7
19770619,1977-06-19,8
19770703,1977-07-03,9
19770716,1977-07-16,10
19770731,1977-07-31,11
19770814,1977-08-14,12
19770828,1977-08-28,13
19770911,1977-09-11,14
19771002,1977-10-02,15
19771009,1977-10-09,16
19771023,1977-10-23,17
19780115,1978-01-15,1
19780129,1978-01-29,2
19780304,1978-03-04,3
19780402,1978-04-02,4
19780507,1978-05-07,5
19780521,1978-05-21,6
19780604,1978-06-04,7
19780617,1978-06-17,8
19780702,1978-07-02,9
19780716,1978-07-16,10
19780730,1978-07-30,11
19780813,1978-08-13,12
19780827,1978-08-27,13
19780910,1978-09-10,14
19781001,1978-10-01,15
19781008,1978-10-08,16
19790121,1979-01-21,1
19790204,1979-02-04,2
19790303,1979-03-03,3
19790408,1979-04-08,4
19790429,1979-04-29,5
19790513,1979-05-13,6
19790527,1979-05-27,7
19790701,1979-07-01,8
19790714,1979-07-14,9
19790729,1979-07-29,10
19790812,1979-08-12,11
19790826,1979-08-26,12
19790909,1979-09-09,13
19790930,1979-09-30,14
19791007,1979-10-07,15
19800113,1980-01-13,1
19800127,1980-01-27,2
19800301,1980-03-01,3
19800330,1980-03-30,4
19800504,1980-05-04,5
19800518,1980-05-18,6
19800629,1980-06-29,7
19800713,1980-07-13,8
