pit_id,race_id,driver_id,constructor_id,circuit_id,stop_number,lap_number,pit_time
145,20110417,buemi,toro_rosso,shanghai,3,33,21928
146,20110417,ambrosio,virgin,shanghai,2,34,22802
147,20110417,barrichello,williams,shanghai,2,35,21481
148,20110417,perez,sauber,shanghai,2,36,23397
149,20110417,button,mclaren,shanghai,3,37,21237
150,20110417,petrov,renault,shanghai,2,37,22005
151,20110417,hamilton,mclaren,shanghai,3,38,20567
152,20110417,rosberg,mercedes,shanghai,3,39,20720
153,20110417,michael_schumacher,mercedes,shanghai,3,39,21400
154,20110417,webber,red_bull,shanghai,3,40,21091
155,20110417,glock,virgin,shanghai,3,39,33827
156,20110417,kovalainen,lotus_racing,shanghai,2,40,21890
157,20110417,maldonado,williams,shanghai,3,40,27620
158,20110417,trulli,lotus_racing,shanghai,2,42,22260
159,20110417,liuzzi,hrt,shanghai,3,45,23499
160,20110417,sutil,force_india,shanghai,3,47,28708
161,20110417,perez,sauber,shanghai,3,48,13900
162,20110417,perez,sauber,shanghai,4,50,28845
163,20110508,perez,sauber,istanbul,1,1,29270
164,20110508,michael_schumacher,mercedes,istanbul,1,2,30182
165,20110508,petrov,renault,istanbul,1,8,21422
166,20110508,massa,ferrari,istanbul,1,9,22022
167,20110508,hamilton,mclaren,istanbul,1,9,20833
168,20110508,buemi,toro_rosso,istanbul,1,9,21769
169,20110508,webber,red_bull,istanbul,1,10,21050
170,20110508,alonso,ferrari,istanbul,1,10,21308
171,20110508,rosberg,mercedes,istanbul,1,10,22573
172,20110508,heidfeld,renault,istanbul,1,10,22300
173,20110508,barrichello,williams,istanbul,1,10,22717
174,20110508,sutil,force_india,istanbul,1,10,21649
175,20110508,vettel,red_bull,istanbul,1,11,20623
176,20110508,resta,force_india,istanbul,1,11,20775
177,20110508,maldonado,williams,istanbul,1,11,23881
178,20110508,button,mclaren,istanbul,1,13,21368
179,20110508,kobayashi,sauber,istanbul,1,13,21820
180,20110508,alguersuari,toro_rosso,istanbul,1,13,22713
181,20110508,trulli,lotus_racing,istanbul,1,13,23066
182,20110508,michael_schumacher,mercedes,istanbul,2,14,20907
183,20110508,karthikeyan,hrt,istanbul,1,14,27353
184,20110508,kovalainen,lotus_racing,istanbul,1,15,22854
185,20110508,liuzzi,hrt,istanbul,1,15,24634
186,20110508,perez,sauber,istanbul,2,16,22895
187,20110508,ambrosio,virgin,istanbul,1,16,22779
188,20110508,liuzzi,hrt,istanbul,2,16,56611
189,20110508,petrov,renault,istanbul,2,19,21323
190,20110508,hamilton,mclaren,istanbul,2,20,21075
191,20110508,webber,red_bull,istanbul,2,21,20421
192,20110508,rosberg,mercedes,istanbul,2,22,20927
193,20110508,heidfeld,renault,istanbul,2,22,21919
194,20110508,alonso,ferrari,istanbul,2,23,21732
195,20110508,massa,ferrari,istanbul,2,23,21322
196,20110508,buemi,toro_rosso,istanbul,2,23,22128
197,20110508,kobayashi,sauber,istanbul,2,23,23455
198,20110508,barrichello,williams,istanbul,2,24,22868
199,20110508,resta,force_india,istanbul,2,24,20930
200,20110508,vettel,red_bull,istanbul,2,25,20112
201,20110508,sutil,force_india,istanbul,2,25,21084
202,20110508,maldonado,williams,istanbul,2,25,22555
203,20110508,trulli,lotus_racing,istanbul,2,25,22862
204,20110508,button,mclaren,istanbul,2,26,22639
205,20110508,karthikeyan,hrt,istanbul,2,27,24962
206,20110508,alguersuari,toro_rosso,istanbul,2,29,21826
207,20110508,michael_schumacher,mercedes,istanbul,3,30,20379
208,20110508,kovalainen,lotus_racing,istanbul,2,31,21633
209,20110508,resta,force_india,istanbul,3,32,20887
210,20110508,perez,sauber,istanbul,3,32,22365
211,20110508,rosberg,mercedes,istanbul,3,33,20949
212,20110508,hamilton,mclaren,istanbul,3,34,35688
213,20110508,ambrosio,virgin,istanbul,2,33,24837
214,20110508,petrov,renault,istanbul,3,34,21838
215,20110508,massa,ferrari,istanbul,3,34,23471
216,20110508,webber,red_bull,istanbul,3,35,20843
217,20110508,alonso,ferrari,istanbul,3,36,21702
218,20110508,heidfeld,renault,istanbul,3,36,20872
219,20110508,liuzzi,hrt,istanbul,3,35,25125
220,20110508,kobayashi,sauber,istanbul,3,38,22456
221,20110508,button,mclaren,istanbul,3,39,21417
222,20110508,alguersuari,toro_rosso,istanbul,3,39,21986
223,20110508,vettel,red_bull,istanbul,3,40,20385
224,20110508,trulli,lotus_racing,istanbul,3,39,22219
225,20110508,buemi,toro_rosso,istanbul,3,40,22032
226,20110508,barrichello,williams,istanbul,3,40,21687
227,20110508,sutil,force_india,istanbul,3,40,21006
228,20110508,liuzzi,hrt,istanbul,4,37,43603
229,20110508,maldonado,williams,istanbul,3,41,21827
230,20110508,perez,sauber,istanbul,4,42,21715
231,20110508,rosberg,mercedes,istanbul,4,44,20308
232,20110508,resta,force_india,istanbul,4,44,21403
233,20110508,webber,red_bull,istanbul,4,45,22087
234,20110508,petrov,renault,istanbul,4,45,21662
